,Stkcd,Trddt,SpecificVar
13389,988,2015-04-01,0.0037208259235992935
13390,988,2015-05-01,0.0035630425569772826
13391,988,2015-06-01,0.003461786370200023
13392,988,2015-07-01,0.0032338536269433007
13393,988,2015-08-01,0.0032661432892733652
13394,988,2015-09-01,0.0036614848936557167
13395,988,2015-10-01,0.012378331696437095
13396,988,2015-11-01,0.013926757819155526
13397,988,2015-12-01,0.019668417847231626
13398,988,2016-01-01,0.01859523226975099
13399,988,2016-02-01,0.019359114779392488
13400,988,2016-03-01,0.01873085705348786
13401,988,2016-04-01,0.017285683330954132
13402,988,2016-05-01,0.01631069660668784
13403,988,2016-06-01,0.014903085290945904
13404,988,2016-07-01,0.014542607310075562
13405,988,2016-08-01,0.01420959463114275
13406,988,2016-09-01,0.013131338917595756
13407,988,2016-10-01,0.008276388992617466
13408,988,2016-11-01,0.005815553086068622
13409,988,2016-12-01,0.0024290972579721383
13421,989,2014-03-01,0.0013076302403756286
13422,989,2014-04-01,0.0004565825060953179
13423,989,2014-05-01,0.0003719829451561995
13424,989,2014-06-01,0.0004539426244599478
13425,989,2014-07-01,0.0005427226993365385
13426,989,2014-08-01,0.0005135208762879192
13427,989,2014-09-01,0.0004773867015700337
13428,989,2014-10-01,0.0007636555880316298
13429,989,2014-11-01,0.0014022788823893396
13430,989,2014-12-01,0.0026568990303449318
13431,989,2015-01-01,0.0027927745763301017
13432,989,2015-06-01,0.002700364593683957
13433,989,2015-07-01,0.0028839794673973206
13434,989,2015-08-01,0.0032004922264705824
13435,989,2015-09-01,0.003030877366863367
13436,989,2015-10-01,0.0030094564391667067
13437,989,2015-11-01,0.0031692116500236377
13438,989,2015-12-01,0.003419654962514375
13439,989,2016-01-01,0.0039050633279158705
13440,989,2016-02-01,0.004446016804276734
13441,989,2016-03-01,0.00460708854399687
13442,989,2016-04-01,0.003947689040807205
13443,989,2016-05-01,0.0035972687942304998
13444,989,2016-06-01,0.003453582927852887
13445,989,2016-07-01,0.003016239247575894
13446,989,2016-08-01,0.0028799595295959626
13447,989,2016-09-01,0.0027469343214724918
13448,989,2016-10-01,0.0025040786495285207
13449,989,2016-11-01,0.002250036610579175
13450,989,2016-12-01,0.002399056479433397
13462,990,2014-03-01,0.0057098972446697266
13463,990,2014-04-01,0.005475261272302307
13464,990,2014-05-01,0.005089248986591424
13465,990,2014-06-01,0.0036960050962992473
13466,990,2014-07-01,0.004247556877779251
13467,990,2014-08-01,0.004063850121816162
13468,990,2014-09-01,0.008414335165655875
13469,990,2014-10-01,0.010528498678371781
13470,990,2014-11-01,0.00963162671507554
13471,990,2014-12-01,0.008763731127265128
13472,990,2015-01-01,0.009018452726561205
13473,990,2015-02-01,0.009652914797002027
13474,990,2015-11-01,0.009780518274088929
13475,990,2015-12-01,0.010282987832599675
13476,990,2016-01-01,0.01105493379464535
13477,990,2016-02-01,0.010064918650004006
13478,990,2016-03-01,0.009332820665167184
13479,990,2016-06-01,0.009001289221747128
13480,990,2016-07-01,0.003171462728181086
13481,990,2016-08-01,0.0054811310368164294
13482,990,2016-09-01,0.00452260831108017
13483,990,2016-10-01,0.00401394387376947
